converted_alias	mock_rep1	mock_rep2	mock_rep3	sars_cov_rep1	sars_cov_rep2	sars_cov_rep3	p_value
ENSG00000161180	0.0	0.0	0.0	0.02076	0.02068	0.01419	0.0010418012556702957
ENSG00000100228	0.7006	0.6198	0.598	0.5103	0.4853	0.5592	0.03326419867856716
ENSG00000189269	0.0188	0.0	0.0	0.06349	0.08432	0.06512	0.0021227642204073474
ENSG00000099956	5.722	5.973	5.391	6.315	6.207	6.233	0.03164152620146108
ENSG00000099998	0.0	0.0	0.0	0.02663	0.02653	0.02732	4.404470847137653e-08
ENSG00000178026	1.083	1.316	1.277	1.551	1.729	1.503	0.020737821792224397
ENSG00000197077	7.581	7.748	7.755	7.236	6.726	6.779	0.010405227942381771
ENSG00000203280	0.6048	0.6382	0.6183	0.4539	0.2261	0.2587	0.01280530784556592
ENSG00000100053	3.985	4.082	4.107	3.501	3.531	3.363	0.0007418966350841287
ENSG00000291087	12.41	11.72	10.98	13.29	13.29	12.93	0.027001119596361377
ENSG00000169184	2.242	2.367	2.582	1.582	1.37	1.607	0.00214061981371949
ENSG00000128342	7.026	7.333	6.888	18.97	16.41	15.94	0.00045749309056117255
ENSG00000184792	0.8871	0.9496	1.202	1.569	1.364	1.483	0.015370259213286773
ENSG00000138942	11.53	10.93	11.94	10.48	10.66	10.36	0.03420173702496535
ENSG00000100105	1.468	1.619	1.445	1.262	0.7931	1.068	0.032769359766194335
ENSG00000241878	10.77	10.86	9.299	13.08	12.1	11.54	0.04636977360811399
ENSG00000100234	31.45	35.05	37.14	25.01	26.81	27.46	0.01106554526810172
ENSG00000100320	23.93	24.08	22.74	18.33	20.09	21.45	0.02205852197061325
ENSG00000100385	0.0934	0.1971	0.1873	0.05257	0.01746	0.05992	0.031050795601366678
ENSG00000185022	6.355	5.67	7.204	13.17	13.27	14.06	0.00017450571522302364
ENSG00000283900	13.54	14.98	14.84	19.0	16.55	17.63	0.01788212820218636
ENSG00000213923	15.54	17.25	17.03	21.91	19.13	20.38	0.01613710964501237
ENSG00000244509	40.23	40.88	38.33	31.42	31.66	32.32	0.000588624005663015
ENSG00000100311	2.42	2.262	2.165	4.942	3.857	4.604	0.002667825901837432
ENSG00000263764	10.55	12.24	7.465	20.18	18.92	22.73	0.004194795526080574
ENSG00000128272	27.92	25.41	24.83	29.03	31.37	31.95	0.022114463381881447
ENSG00000133477	4.471	4.612	4.928	4.129	3.897	3.717	0.01374955794416525
ENSG00000167074	3.136	2.953	3.095	2.343	2.665	2.668	0.014312247168890943
ENSG00000100207	9.511	9.201	9.123	9.668	10.62	10.35	0.038292718726936646
ENSG00000100290	4.056	5.151	4.234	7.275	5.551	6.695	0.0292523208851088
ENSG00000238120	1.253	0.9617	1.29	0.8976	0.6387	0.7454	0.03349447606259463
ENSG00000186951	1.356	1.461	1.448	1.115	1.137	1.191	0.002382488753681445
ENSG00000025708	7.003	9.396	6.85	20.04	12.71	12.46	0.04906512344435401
ENSG00000130487	0.03827	0.02693	0.0	0.1293	0.1145	0.04911	0.04889702790815124
ENSG00000169093	2.273	2.372	2.368	2.818	2.506	2.556	0.047206275016984794
ENSG00000292339	2.273	2.372	2.368	2.818	2.506	2.556	0.047206275016984794
ENSG00000291040	1.311	1.228	1.291	1.043	1.05	1.188	0.026648585204326215
ENSG00000292362	1.311	1.228	1.291	1.043	1.05	1.188	0.026648585204326215
ENSG00000002586	19.88	19.08	15.31	23.47	21.6	22.35	0.044006494235828524
ENSG00000292348	19.88	19.08	15.31	23.47	21.6	22.35	0.044006494235828524
ENSG00000101825	5.742	5.722	5.018	2.928	3.149	2.477	0.001032333715687002
